Model,Best_Epoch,mAP50,mAP50-95,Precision,Recall,Box_Loss,Cls_Loss,DFL_Loss
finetune_transfer_learn_belugas_275_epoch50_freeze0,37,0.9047,0.5365,0.9146,0.8058,1.2702,0.7557,1.2149
finetune_transfer_learn_belugas_275_epoch10_freeze0,44,0.8926,0.4981,0.895,0.8458,1.2066,0.7481,1.1852
finetune_transfer_learn_belugas_275_epoch100_freeze11,40,0.886,0.5285,0.9313,0.7975,1.2431,0.7478,1.1861
finetune_transfer_learn_belugas_275_epoch100_freeze0,37,0.884,0.5313,0.8881,0.8202,1.1584,0.6842,1.1541
finetune_transfer_learn_belugas_275_epoch50_freeze11,22,0.8716,0.4837,0.8612,0.7945,1.4552,0.9075,1.3007
finetune_transfer_learn_belugas_275_epoch10_freeze11,22,0.866,0.4517,0.9028,0.7681,1.5081,1.0053,1.3383
finetune_transfer_learn_belugas_115_epoch50_freeze0,38,0.8594,0.4867,0.8945,0.8059,1.0431,0.6741,1.003
finetune_transfer_learn_belugas_115_epoch10_freeze11,37,0.8575,0.4806,0.8796,0.7849,1.1508,0.787,1.0369
finetune_transfer_learn_belugas_115_epoch100_freeze0,39,0.8564,0.481,0.9219,0.8016,0.9676,0.6101,0.966
finetune_transfer_learn_belugas_115_epoch100_freeze11,37,0.855,0.4765,0.8815,0.7688,1.0139,0.6643,0.988
finetune_transfer_learn_belugas_115_epoch10_freeze0,47,0.8523,0.5061,0.8641,0.7769,1.0287,0.751,1.0079
finetune_transfer_learn_belugas_115_epoch50_freeze11,32,0.8381,0.4527,0.8468,0.781,1.1443,0.756,1.038
